Epoch,Train Loss,Train Accuracy,Eval Loss,Eval Accuracy,Top-1 Accuracy,Top-5 Accuracy,Epoch Time (seconds)
1,4.05756832998427,7.702605498721228,3.589198933372015,14.72507911392405,14.72507911392405,39.388844936708864,28.30588220499999
2,3.529573685067999,15.558663685151073,3.2594460988346534,20.5498417721519,20.5498417721519,48.38805379746836,28.48266427700014
3,3.2645753137290936,20.437579924035866,3.088926713677901,23.546281645569618,23.546281645569618,53.80735759493671,27.37832872099989
4,3.060835818195587,23.883471868532087,2.8151035972788363,29.084256329113924,29.084256329113924,59.87935126582279,27.189023544000065
5,2.8753908784188273,27.73817135473651,2.6487500939188124,31.70490506329114,31.70490506329114,64.1317246835443,27.39068534399985
6,2.7387557791931854,30.15625000457325,2.578043602689912,33.2871835443038,33.2871835443038,65.04153481012658,28.781965809999974
7,2.6216508933650258,32.646259589268425,2.5391191591190387,34.35522151898734,34.35522151898734,65.77333860759494,27.58756171899995
8,2.5278157748834555,34.58959399281865,2.4852376648142367,36.32318037974683,36.32318037974683,67.29628164556962,27.937319747000174
9,2.440569060842704,36.30834398672099,2.3441069141218933,38.657041139240505,38.657041139240505,70.33227848101265,29.06046656600006
10,2.3611580060266166,37.896019822496285,2.294226008125498,39.92286392405063,39.92286392405063,71.9442246835443,27.77882482600012
11,2.294839356561451,39.38698849409742,2.2852697251718257,39.58662974683544,39.58662974683544,71.97389240506328,27.405287039000086
12,2.2329012612857477,40.82241048440909,2.169616604153114,42.958860759493675,42.958860759493675,73.69462025316456,27.878858493000052
13,2.172458294712369,42.020460361105094,2.1916152751898466,42.03916139240506,42.03916139240506,73.52650316455697,27.94960943199999
14,2.107846373792195,43.41831841432225,2.0927771661855,44.936708860759495,44.936708860759495,75.42523734177216,28.001895776999845
15,2.058068550151327,44.55562659998989,2.0580849904048293,45.579509493670884,45.579509493670884,75.80102848101265,28.024902832999942
16,2.0104095252883405,45.744485295642065,2.0760665317124958,45.846518987341774,45.846518987341774,75.42523734177216,27.89455453300002
17,1.9610628109149006,46.816256398435144,2.1567601780348187,43.819224683544306,43.819224683544306,74.21875,29.37881855699993
18,1.9185993744589178,47.917599110957,2.039137349853033,46.340981012658226,46.340981012658226,76.36471518987342,28.008770252999966
19,1.8812927178409704,48.73241688436864,1.97670922550974,47.77492088607595,47.77492088607595,77.20530063291139,27.913367704999928
20,1.8380244159332626,49.86812659846547,2.000692034069496,47.73536392405063,47.73536392405063,76.9382911392405,28.28812822000009
21,1.7922196150435816,50.787643863416996,2.001189849044703,47.201344936708864,47.201344936708864,77.55142405063292,28.074882621000143
22,1.7624935058071791,51.42623082451199,1.9861498678786844,48.32871835443038,48.32871835443038,77.59098101265823,27.911809962999996
23,1.7216189544828957,52.623481457800516,1.9774116473861887,48.27927215189873,48.27927215189873,77.82832278481013,27.69455692199972
24,1.6867547193756494,53.068254480276565,1.9104795878446554,49.84177215189873,49.84177215189873,78.64912974683544,29.400299796000127
25,1.6455229584823179,54.26390664961637,1.9785663553431063,48.714398734177216,48.714398734177216,77.80854430379746,27.40565740000011
26,1.6246530473079828,54.53284846242431,1.9175410995000526,49.357199367088604,49.357199367088604,78.5304588607595,28.02460641200014
27,1.586674833846519,55.75407609305418,1.9010406294955482,49.930775316455694,49.930775316455694,79.25237341772153,28.30998231400008
28,1.5572494042803868,56.2432065186903,1.8417676083649261,51.07792721518988,51.07792721518988,80.13251582278481,28.724529233999874
29,1.5223090200472975,57.19948850019508,1.8836494744578494,50.77136075949367,50.77136075949367,79.3117088607595,28.56773565499998
30,1.5020712955528512,57.604299878220424,1.8651054976861687,51.29549050632911,51.29549050632911,79.87539556962025,28.081213328000104
31,1.4686972863229035,58.34438939533575,1.8315778895269466,51.97784810126582,51.97784810126582,80.2314082278481,30.1051082959998
32,1.448056521927914,59.070092714046275,1.8804958621157875,50.68235759493671,50.68235759493671,78.99525316455697,27.94735178100018
33,1.4186556462741569,59.56202045730923,1.8757929786851135,50.83069620253164,50.83069620253164,79.86550632911393,28.035790998000266
34,1.3920506982852126,60.33367967361685,1.8593320393864112,51.59216772151899,51.59216772151899,80.50830696202532,27.699352126999656
35,1.3666757464103991,60.86237212581098,1.8845918238917483,50.80102848101266,50.80102848101266,79.53916139240506,27.613707616000283
36,1.3327822151696285,61.86620844599536,1.8989448215388045,51.60205696202531,51.60205696202531,79.5193829113924,27.68108357500023
37,1.319616317901465,62.05562659541665,1.8810296435899372,51.97784810126582,51.97784810126582,79.3117088607595,27.35852308700032
38,1.3034297040356395,62.597906010230176,1.8738211272638055,51.92840189873418,51.92840189873418,79.87539556962025,29.13709118299994
39,1.2697298862135318,63.321611262343424,1.8603188674661177,52.45253164556962,52.45253164556962,80.82476265822784,27.036600417000045
40,1.2514948907410701,63.88027494215904,1.8821018043952653,52.23496835443038,52.23496835443038,80.31052215189874,27.715252406999753
